DD,MM,YYYY,HH_start,HH_end_1,solar_heat_production_Mwh,solar_radiation_Wh-sqm,HH_end_2,diff_HH_end_2-1,count_of_selcted,manipulated
14,4,2012,0,1,0,0,1,0,2473,
14,4,2012,1,2,0,0,2,0,2474,
14,4,2012,2,3,0,0,3,0,2475,
14,4,2012,3,4,0,0,4,0,2476,
14,4,2012,4,5,0,0,5,0,2477,
14,4,2012,5,6,0,0,6,0,2478,
14,4,2012,6,7,0,2,7,0,2479,
14,4,2012,7,8,0,20,8,0,2480,
14,4,2012,8,9,0,77,9,0,2481,
14,4,2012,9,10,0.31,251,10,0,2482,
14,4,2012,10,11,1.35,363,11,0,2483,
14,4,2012,11,12,7.31,831,12,0,2484,
14,4,2012,12,13,9.05,945,13,0,2485,
14,4,2012,13,14,9.59,967,14,0,2486,
14,4,2012,14,15,9.25,843,15,0,2487,
14,4,2012,15,16,7.08,775,16,0,2488,
14,4,2012,16,17,4.92,598,17,0,2489,
14,4,2012,17,18,2.68,346,18,0,2490,
14,4,2012,18,19,0.57,151,19,0,2491,
14,4,2012,19,20,0,81,20,0,2492,
14,4,2012,20,21,0,10,21,0,2493,
14,4,2012,21,22,0,0,22,0,2494,
14,4,2012,22,23,0,0,23,0,2495,
14,4,2012,23,24,0,0,24,0,2496,
15,4,2012,0,1,0,0,1,0,2497,
15,4,2012,1,2,0,0,2,0,2498,
15,4,2012,2,3,0,0,3,0,2499,
15,4,2012,3,4,0,0,4,0,2500,
15,4,2012,4,5,0,0,5,0,2501,
15,4,2012,5,6,0,0,6,0,2502,
15,4,2012,6,7,0,7,7,0,2503,
15,4,2012,7,8,0,77,8,0,2504,
15,4,2012,8,9,0.08,226,9,0,2505,
15,4,2012,9,10,0.78,466,10,0,2506,
15,4,2012,10,11,5.89,671,11,0,2507,
15,4,2012,11,12,7.61,811,12,0,2508,
15,4,2012,12,13,9.16,918,13,0,2509,
15,4,2012,13,14,8.5,827,14,0,2510,
