DD,MM,YYYY,HH_start,HH_end_1,solar_heat_production_Mwh,solar_radiation_Wh-sqm,HH_end_2,diff_HH_end_2-1,count_of_selcted,manipulated
12,11,2012,12,13,0.66,86,13,0,7573,
12,11,2012,13,14,1,133,14,0,7574,
12,11,2012,14,15,0.31,41,15,0,7575,
12,11,2012,15,16,0,1,16,0,7576,
12,11,2012,16,17,0,0,17,0,7577,
12,11,2012,17,18,0,0,18,0,7578,
12,11,2012,18,19,0,0,19,0,7579,
12,11,2012,19,20,0,0,20,0,7580,
12,11,2012,20,21,0,0,21,0,7581,
12,11,2012,21,22,0,0,22,0,7582,
12,11,2012,22,23,0,0,23,0,7583,
12,11,2012,23,24,0,0,24,0,7584,
13,11,2012,0,1,0,0,1,0,7585,
13,11,2012,1,2,0,0,2,0,7586,
13,11,2012,2,3,0,0,3,0,7587,
13,11,2012,3,4,0,0,4,0,7588,
13,11,2012,4,5,0,0,5,0,7589,
13,11,2012,5,6,0,0,6,0,7590,
13,11,2012,6,7,0,0,7,0,7591,
13,11,2012,7,8,0,0,8,0,7592,
13,11,2012,8,9,0,0,9,0,7593,
13,11,2012,9,10,0,0,10,0,7594,
13,11,2012,10,11,0,0,11,0,7595,
13,11,2012,11,12,0,0,12,0,7596,
13,11,2012,12,13,0,0,13,0,7597,
13,11,2012,13,14,0,0,14,0,7598,
13,11,2012,14,15,0,0,15,0,7599,
13,11,2012,15,16,0,0,16,0,7600,
13,11,2012,16,17,0,0,17,0,7601,
13,11,2012,17,18,0,0,18,0,7602,
13,11,2012,18,19,0,0,19,0,7603,
13,11,2012,19,20,0,0,20,0,7604,
13,11,2012,20,21,0,0,21,0,7605,
13,11,2012,21,22,0,0,22,0,7606,
13,11,2012,22,23,0,0,23,0,7607,
13,11,2012,23,24,0,0,24,0,7608,
14,11,2012,0,1,0,0,1,0,7609,
14,11,2012,1,2,0,0,2,0,7610,
14,11,2012,2,3,0,0,3,0,7611,
14,11,2012,3,4,0,0,4,0,7612,
14,11,2012,4,5,0,0,5,0,7613,
14,11,2012,5,6,0,0,6,0,7614,
